FID,GID,KABUPATEN,PROVINSI,ODP,OPD_PROSES,ODP_SELESA,PDP,PDP_DIRAWA,PDP_SUSPEC,PDP_SEHAT,POSITIF,DIRAWAT,MANDIRI,SEMBUH,MENINGGAL,TGL_UPDATE,TGL_PEMBAR,Shape__Area,Shape__Length
1,1,Kota Bukittinggi,Sumatera Barat,170,29,141,13,2,0,11,5,1,3,0,1,2020-04-12 15:46:47+07,"Sunday   , 12 April     2020 15:46:47",23708433.9552002,28345.8881332811
2,2,Kota Padang Panjang,Sumatera Barat,96,17,79,5,4,0,1,0,0,0,0,0,2020-04-12 15:44:11+07,"Sunday   , 12 April     2020 15:44:11",20835459.1657104,31641.5947183495
3,3,Kota Payakumbuh,Sumatera Barat,161,55,106,7,4,0,3,0,0,0,0,0,2020-04-12 15:48:12+07,"Sunday   , 12 April     2020 15:48:12",76115544.441391,48791.1555598355
4,4,Sijunjung,Sumatera Barat,141,31,110,4,1,0,3,0,0,0,0,0,2020-04-12 17:10:46+07,"Sunday   , 12 April     2020 17:10:46",3182087108.8291,330403.502096877
5,5,Tanah Datar,Sumatera Barat,328,91,237,5,0,0,5,1,0,0,1,0,2020-04-12 17:57:18+07,"Sunday   , 12 April     2020 17:57:18",1382717961.82248,259870.334334482
6,6,Kota Solok,Sumatera Barat,96,27,69,2,1,0,1,0,0,0,0,0,2020-04-12 15:49:27+07,"Sunday   , 12 April     2020 15:49:27",59127182.2583008,51610.188709343
7,7,Solok,Sumatera Barat,222,41,181,13,5,0,8,0,0,0,0,0,2020-04-12 19:14:53+07,"Sunday   , 12 April     2020 19:14:53",3599795555.01447,441655.335917821
8,8,Kota Sawahlunto,Sumatera Barat,63,19,44,1,1,0,0,0,0,0,0,0,2020-04-12 15:50:40+07,"Sunday   , 12 April     2020 15:50:40",240961158.296631,81770.0997300345
9,9,Kota Pariaman,Sumatera Barat,115,26,89,3,1,0,2,0,0,0,0,0,2020-04-12 17:35:37+07,"Sunday   , 12 April     2020 17:35:37",103506125.099304,61117.6642827636
10,10,Agam,Sumatera Barat,569,249,320,14,3,0,11,0,0,0,0,0,2020-04-12 16:39:34+07,"Sunday   , 12 April     2020 16:39:34",2239770149.82255,310260.978864539
11,11,Kepulauan Mentawai,Sumatera Barat,28,13,15,1,1,0,0,1,1,0,0,0,2020-04-12 17:31:27+07,"Sunday   , 12 April     2020 17:31:27",6030643974.07532,1636874.34544954
12,12,Kota Padang,Sumatera Barat,1913,16,1897,32,3,0,29,30,10,14,4,2,2020-04-12 15:42:59+07,"Sunday   , 12 April     2020 15:42:59",702135942.731445,207476.784140901
13,13,Padang Pariaman,Sumatera Barat,59,37,22,12,5,0,7,1,0,1,0,0,2020-04-12 15:53:47+07,"Sunday   , 12 April     2020 15:53:47",1315005573.6637,231804.522936301
14,14,Pasaman Barat,Sumatera Barat,180,139,41,8,6,0,2,0,0,0,0,0,2020-04-12 17:38:51+07,"Sunday   , 12 April     2020 17:38:51",3844464244.30754,417020.089162166
15,15,Pasaman,Sumatera Barat,162,41,121,3,0,0,3,2,1,1,0,0,2020-04-12 15:52:14+07,"Sunday   , 12 April     2020 15:52:14",3994619128.8629,424980.385798324
16,16,Limapuluh Kota,Sumatera Barat,237,62,175,12,9,0,3,0,0,0,0,0,2020-04-12 16:41:04+07,"Sunday   , 12 April     2020 16:41:04",3294439280.78378,433874.892567235
17,17,Dharmasraya,Sumatera Barat,216,15,201,3,2,0,1,0,0,0,0,0,2020-04-12 17:40:23+07,"Sunday   , 12 April     2020 17:40:23",3000591087.43268,468672.814557164
18,18,Pesisir Selatan,Sumatera Barat,268,80,188,6,3,0,3,4,2,0,2,0,2020-04-12 17:30:13+07,"Sunday   , 12 April     2020 17:30:13",6141321671.24884,611512.762814529
19,19,Solok Selatan,Sumatera Barat,94,24,70,7,2,0,5,0,0,0,0,0,2020-04-12 17:41:48+07,"Sunday   , 12 April     2020 17:41:48",3302104312.47632,388743.862735736
